Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 5.2000E+001; 2.7766E+002; 5.2000E+001; 2.3043E+002; 5.2000E+001; 1.9109E+002; 5.2000E+001; 1.5800E+002; 5.2000E+001; 1.2973E+002; 5.2000E+001; 1.0611E+002; 5.2000E+001; 3.7195E+001;
 5.3000E+001; 2.7942E+002; 5.3000E+001; 2.3232E+002; 5.3000E+001; 1.9295E+002; 5.3000E+001; 1.5987E+002; 5.3000E+001; 1.3154E+002; 5.3000E+001; 1.0781E+002; 5.3000E+001; 3.8037E+001;
 5.4000E+001; 2.8115E+002; 5.4000E+001; 2.3419E+002; 5.4000E+001; 1.9479E+002; 5.4000E+001; 1.6172E+002; 5.4000E+001; 1.3333E+002; 5.4000E+001; 1.0949E+002; 5.4000E+001; 3.8891E+001;
 5.5000E+001; 2.8286E+002; 5.5000E+001; 2.3603E+002; 5.5000E+001; 1.9660E+002; 5.5000E+001; 1.6354E+002; 5.5000E+001; 1.3510E+002; 5.5000E+001; 1.1116E+002; 5.5000E+001; 3.9755E+001;
 5.6000E+001; 2.8454E+002; 5.6000E+001; 2.3784E+002; 5.6000E+001; 1.9839E+002; 5.6000E+001; 1.6534E+002; 5.6000E+001; 1.3685E+002; 5.6000E+001; 1.1282E+002; 5.6000E+001; 4.0630E+001;
 5.7000E+001; 2.8619E+002; 5.7000E+001; 2.3962E+002; 5.7000E+001; 2.0015E+002; 5.7000E+001; 1.6712E+002; 5.7000E+001; 1.3858E+002; 5.7000E+001; 1.1447E+002; 5.7000E+001; 4.1513E+001;
 5.8000E+001; 2.8782E+002; 5.8000E+001; 2.4138E+002; 5.8000E+001; 2.0190E+002; 5.8000E+001; 1.6887E+002; 5.8000E+001; 1.4030E+002; 5.8000E+001; 1.1610E+002; 5.8000E+001; 4.2406E+001;
 5.9000E+001; 2.8943E+002; 5.9000E+001; 2.4312E+002; 5.9000E+001; 2.0362E+002; 5.9000E+001; 1.7060E+002; 5.9000E+001; 1.4200E+002; 5.9000E+001; 1.1772E+002; 5.9000E+001; 4.3307E+001;
 6.0000E+001; 2.9101E+002; 6.0000E+001; 2.4483E+002; 6.0000E+001; 2.0532E+002; 6.0000E+001; 1.7231E+002; 6.0000E+001; 1.4368E+002; 6.0000E+001; 1.1933E+002; 6.0000E+001; 4.4217E+001;
 6.1000E+001; 2.9257E+002; 6.1000E+001; 2.4652E+002; 6.1000E+001; 2.0701E+002; 6.1000E+001; 1.7400E+002; 6.1000E+001; 1.4534E+002; 6.1000E+001; 1.2092E+002; 6.1000E+001; 4.5133E+001;
 6.2000E+001; 2.9411E+002; 6.2000E+001; 2.4819E+002; 6.2000E+001; 2.0867E+002; 6.2000E+001; 1.7567E+002; 6.2000E+001; 1.4699E+002; 6.2000E+001; 1.2251E+002; 6.2000E+001; 4.6057E+001;
 6.3000E+001; 2.9563E+002; 6.3000E+001; 2.4983E+002; 6.3000E+001; 2.1033E+002; 6.3000E+001; 1.7732E+002; 6.3000E+001; 1.4862E+002; 6.3000E+001; 1.2408E+002; 6.3000E+001; 4.6988E+001;
 6.4000E+001; 2.9713E+002; 6.4000E+001; 2.5145E+002; 6.4000E+001; 2.1196E+002; 6.4000E+001; 1.7895E+002; 6.4000E+001; 1.5024E+002; 6.4000E+001; 1.2564E+002; 6.4000E+001; 4.7924E+001;
 6.5000E+001; 2.9861E+002; 6.5000E+001; 2.5305E+002; 6.5000E+001; 2.1358E+002; 6.5000E+001; 1.8056E+002; 6.5000E+001; 1.5184E+002; 6.5000E+001; 1.2719E+002; 6.5000E+001; 4.8867E+001;
