Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 3.4000E+001; 8.9382E-001; 3.4000E+001; 8.8496E-001; 3.4000E+001; 8.5032E-001; 3.4000E+001; 8.3253E-001; 3.4000E+001; 8.2182E-001; 3.4000E+001; 8.1567E-001; 3.4000E+001; 8.9341E-001;
 3.5000E+001; 8.9386E-001; 3.5000E+001; 8.8528E-001; 3.5000E+001; 8.5105E-001; 3.5000E+001; 8.3266E-001; 3.5000E+001; 8.2185E-001; 3.5000E+001; 8.1568E-001; 3.5000E+001; 8.9341E-001;
 3.6000E+001; 8.9389E-001; 3.6000E+001; 8.8552E-001; 3.6000E+001; 8.5188E-001; 3.6000E+001; 8.3280E-001; 3.6000E+001; 8.2188E-001; 3.6000E+001; 8.1569E-001; 3.6000E+001; 8.9341E-001;
 3.7000E+001; 8.9393E-001; 3.7000E+001; 8.8571E-001; 3.7000E+001; 8.5285E-001; 3.7000E+001; 8.3297E-001; 3.7000E+001; 8.2192E-001; 3.7000E+001; 8.1570E-001; 3.7000E+001; 8.9341E-001;
 3.8000E+001; 8.9397E-001; 3.8000E+001; 8.8587E-001; 3.8000E+001; 8.5396E-001; 3.8000E+001; 8.3315E-001; 3.8000E+001; 8.2196E-001; 3.8000E+001; 8.1571E-001; 3.8000E+001; 8.9341E-001;
 3.9000E+001; 8.9400E-001; 3.9000E+001; 8.8600E-001; 3.9000E+001; 8.5522E-001; 3.9000E+001; 8.3336E-001; 3.9000E+001; 8.2201E-001; 3.9000E+001; 8.1573E-001; 3.9000E+001; 8.9341E-001;
 4.0000E+001; 8.9404E-001; 4.0000E+001; 8.8611E-001; 4.0000E+001; 8.5665E-001; 4.0000E+001; 8.3359E-001; 4.0000E+001; 8.2207E-001; 4.0000E+001; 8.1575E-001; 4.0000E+001; 8.9341E-001;
 4.1000E+001; 8.9409E-001; 4.1000E+001; 8.8621E-001; 4.1000E+001; 8.5825E-001; 4.1000E+001; 8.3385E-001; 4.1000E+001; 8.2213E-001; 4.1000E+001; 8.1576E-001; 4.1000E+001; 8.9341E-001;
 4.2000E+001; 8.9413E-001; 4.2000E+001; 8.8629E-001; 4.2000E+001; 8.6001E-001; 4.2000E+001; 8.3414E-001; 4.2000E+001; 8.2220E-001; 4.2000E+001; 8.1578E-001; 4.2000E+001; 8.9341E-001;
 4.3000E+001; 8.9418E-001; 4.3000E+001; 8.8637E-001; 4.3000E+001; 8.6193E-001; 4.3000E+001; 8.3447E-001; 4.3000E+001; 8.2228E-001; 4.3000E+001; 8.1581E-001; 4.3000E+001; 8.9341E-001;
 4.4000E+001; 8.9422E-001; 4.4000E+001; 8.8645E-001; 4.4000E+001; 8.6400E-001; 4.4000E+001; 8.3483E-001; 4.4000E+001; 8.2236E-001; 4.4000E+001; 8.1583E-001; 4.4000E+001; 8.9341E-001;
 4.5000E+001; 8.9427E-001; 4.5000E+001; 8.8652E-001; 4.5000E+001; 8.6618E-001; 4.5000E+001; 8.3523E-001; 4.5000E+001; 8.2246E-001; 4.5000E+001; 8.1586E-001; 4.5000E+001; 8.9341E-001;
 4.6000E+001; 8.9432E-001; 4.6000E+001; 8.8658E-001; 4.6000E+001; 8.6845E-001; 4.6000E+001; 8.3568E-001; 4.6000E+001; 8.2256E-001; 4.6000E+001; 8.1589E-001; 4.6000E+001; 8.9341E-001;
 4.7000E+001; 8.9437E-001; 4.7000E+001; 8.8665E-001; 4.7000E+001; 8.7075E-001; 4.7000E+001; 8.3617E-001; 4.7000E+001; 8.2268E-001; 4.7000E+001; 8.1592E-001; 4.7000E+001; 8.9341E-001;
 4.8000E+001; 8.9443E-001; 4.8000E+001; 8.8671E-001; 4.8000E+001; 8.7305E-001; 4.8000E+001; 8.3671E-001; 4.8000E+001; 8.2280E-001; 4.8000E+001; 8.1596E-001; 4.8000E+001; 8.9341E-001;
 4.9000E+001; 8.9448E-001; 4.9000E+001; 8.8677E-001; 4.9000E+001; 8.7529E-001; 4.9000E+001; 8.3732E-001; 4.9000E+001; 8.2294E-001; 4.9000E+001; 8.1600E-001; 4.9000E+001; 8.9341E-001;
 5.0000E+001; 8.9454E-001; 5.0000E+001; 8.8683E-001; 5.0000E+001; 8.7742E-001; 5.0000E+001; 8.3798E-001; 5.0000E+001; 8.2310E-001; 5.0000E+001; 8.1604E-001; 5.0000E+001; 8.9341E-001;
 5.1000E+001; 8.9459E-001; 5.1000E+001; 8.8689E-001; 5.1000E+001; 8.7942E-001; 5.1000E+001; 8.3871E-001; 5.1000E+001; 8.2327E-001; 5.1000E+001; 8.1609E-001; 5.1000E+001; 8.9341E-001;
 5.2000E+001; 8.9465E-001; 5.2000E+001; 8.8695E-001; 5.2000E+001; 8.8124E-001; 5.2000E+001; 8.3952E-001; 5.2000E+001; 8.2345E-001; 5.2000E+001; 8.1614E-001; 5.2000E+001; 8.9341E-001;
 5.3000E+001; 8.9471E-001; 5.3000E+001; 8.8701E-001; 5.3000E+001; 8.8286E-001; 5.3000E+001; 8.4041E-001; 5.3000E+001; 8.2366E-001; 5.3000E+001; 8.1620E-001; 5.3000E+001; 8.9341E-001;
 5.4000E+001; 8.9478E-001; 5.4000E+001; 8.8707E-001; 5.4000E+001; 8.8428E-001; 5.4000E+001; 8.4138E-001; 5.4000E+001; 8.2388E-001; 5.4000E+001; 8.1626E-001; 5.4000E+001; 8.9341E-001;
