Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 5.0000E+001; 2.6841E+002; 5.0000E+001; 2.1890E+002; 5.0000E+001; 1.7658E+002; 5.0000E+001; 1.4149E+002; 5.0000E+001; 1.1289E+002; 5.0000E+001; 8.9947E+001; 5.0000E+001; 2.9728E+001;
 5.1000E+001; 2.7042E+002; 5.1000E+001; 2.2095E+002; 5.1000E+001; 1.7861E+002; 5.1000E+001; 1.4342E+002; 5.1000E+001; 1.1466E+002; 5.1000E+001; 9.1537E+001; 5.1000E+001; 3.0303E+001;
 5.2000E+001; 2.7239E+002; 5.2000E+001; 2.2298E+002; 5.2000E+001; 1.8061E+002; 5.2000E+001; 1.4532E+002; 5.2000E+001; 1.1642E+002; 5.2000E+001; 9.3117E+001; 5.2000E+001; 3.0890E+001;
 5.3000E+001; 2.7433E+002; 5.3000E+001; 2.2497E+002; 5.3000E+001; 1.8258E+002; 5.3000E+001; 1.4720E+002; 5.3000E+001; 1.1816E+002; 5.3000E+001; 9.4688E+001; 5.3000E+001; 3.1489E+001;
 5.4000E+001; 2.7623E+002; 5.4000E+001; 2.2693E+002; 5.4000E+001; 1.8453E+002; 5.4000E+001; 1.4907E+002; 5.4000E+001; 1.1989E+002; 5.4000E+001; 9.6250E+001; 5.4000E+001; 3.2100E+001;
 5.5000E+001; 2.7811E+002; 5.5000E+001; 2.2886E+002; 5.5000E+001; 1.8645E+002; 5.5000E+001; 1.5091E+002; 5.5000E+001; 1.2160E+002; 5.5000E+001; 9.7803E+001; 5.5000E+001; 3.2723E+001;
 5.6000E+001; 2.7996E+002; 5.6000E+001; 2.3077E+002; 5.6000E+001; 1.8834E+002; 5.6000E+001; 1.5273E+002; 5.6000E+001; 1.2330E+002; 5.6000E+001; 9.9347E+001; 5.6000E+001; 3.3356E+001;
 5.7000E+001; 2.8179E+002; 5.7000E+001; 2.3265E+002; 5.7000E+001; 1.9022E+002; 5.7000E+001; 1.5453E+002; 5.7000E+001; 1.2498E+002; 5.7000E+001; 1.0088E+002; 5.7000E+001; 3.4000E+001;
 5.8000E+001; 2.8359E+002; 5.8000E+001; 2.3451E+002; 5.8000E+001; 1.9207E+002; 5.8000E+001; 1.5631E+002; 5.8000E+001; 1.2665E+002; 5.8000E+001; 1.0241E+002; 5.8000E+001; 3.4655E+001;
 5.9000E+001; 2.8536E+002; 5.9000E+001; 2.3634E+002; 5.9000E+001; 1.9389E+002; 5.9000E+001; 1.5808E+002; 5.9000E+001; 1.2830E+002; 5.9000E+001; 1.0392E+002; 5.9000E+001; 3.5319E+001;
 6.0000E+001; 2.8711E+002; 6.0000E+001; 2.3814E+002; 6.0000E+001; 1.9570E+002; 6.0000E+001; 1.5982E+002; 6.0000E+001; 1.2995E+002; 6.0000E+001; 1.0543E+002; 6.0000E+001; 3.5992E+001;
 6.1000E+001; 2.8883E+002; 6.1000E+001; 2.3992E+002; 6.1000E+001; 1.9748E+002; 6.1000E+001; 1.6155E+002; 6.1000E+001; 1.3157E+002; 6.1000E+001; 1.0693E+002; 6.1000E+001; 3.6675E+001;
 6.2000E+001; 2.9054E+002; 6.2000E+001; 2.4168E+002; 6.2000E+001; 1.9925E+002; 6.2000E+001; 1.6326E+002; 6.2000E+001; 1.3319E+002; 6.2000E+001; 1.0842E+002; 6.2000E+001; 3.7366E+001;
 6.3000E+001; 2.9222E+002; 6.3000E+001; 2.4342E+002; 6.3000E+001; 2.0099E+002; 6.3000E+001; 1.6495E+002; 6.3000E+001; 1.3479E+002; 6.3000E+001; 1.0990E+002; 6.3000E+001; 3.8065E+001;
 6.4000E+001; 2.9388E+002; 6.4000E+001; 2.4513E+002; 6.4000E+001; 2.0271E+002; 6.4000E+001; 1.6663E+002; 6.4000E+001; 1.3638E+002; 6.4000E+001; 1.1138E+002; 6.4000E+001; 3.8772E+001;
 6.5000E+001; 2.9551E+002; 6.5000E+001; 2.4682E+002; 6.5000E+001; 2.0441E+002; 6.5000E+001; 1.6829E+002; 6.5000E+001; 1.3795E+002; 6.5000E+001; 1.1284E+002; 6.5000E+001; 3.9487E+001;
 6.6000E+001; 2.9713E+002; 6.6000E+001; 2.4850E+002; 6.6000E+001; 2.0610E+002; 6.6000E+001; 1.6993E+002; 6.6000E+001; 1.3952E+002; 6.6000E+001; 1.1430E+002; 6.6000E+001; 4.0208E+001;
 6.7000E+001; 2.9873E+002; 6.7000E+001; 2.5015E+002; 6.7000E+001; 2.0776E+002; 6.7000E+001; 1.7156E+002; 6.7000E+001; 1.4107E+002; 6.7000E+001; 1.1574E+002; 6.7000E+001; 4.0937E+001;
 6.8000E+001; 3.0031E+002; 6.8000E+001; 2.5178E+002; 6.8000E+001; 2.0941E+002; 6.8000E+001; 1.7317E+002; 6.8000E+001; 1.4261E+002; 6.8000E+001; 1.1718E+002; 6.8000E+001; 4.1672E+001;
 6.9000E+001; 3.0187E+002; 6.9000E+001; 2.5340E+002; 6.9000E+001; 2.1104E+002; 6.9000E+001; 1.7477E+002; 6.9000E+001; 1.4414E+002; 6.9000E+001; 1.1861E+002; 6.9000E+001; 4.2412E+001;
 7.0000E+001; 3.0341E+002; 7.0000E+001; 2.5499E+002; 7.0000E+001; 2.1265E+002; 7.0000E+001; 1.7635E+002; 7.0000E+001; 1.4565E+002; 7.0000E+001; 1.2003E+002; 7.0000E+001; 4.3159E+001;
 7.1000E+001; 3.0494E+002; 7.1000E+001; 2.5657E+002; 7.1000E+001; 2.1425E+002; 7.1000E+001; 1.7792E+002; 7.1000E+001; 1.4716E+002; 7.1000E+001; 1.2145E+002; 7.1000E+001; 4.3911E+001;
 7.2000E+001; 3.0645E+002; 7.2000E+001; 2.5813E+002; 7.2000E+001; 2.1582E+002; 7.2000E+001; 1.7947E+002; 7.2000E+001; 1.4865E+002; 7.2000E+001; 1.2285E+002; 7.2000E+001; 4.4668E+001;
 7.3000E+001; 3.0794E+002; 7.3000E+001; 2.5967E+002; 7.3000E+001; 2.1739E+002; 7.3000E+001; 1.8101E+002; 7.3000E+001; 1.5013E+002; 7.3000E+001; 1.2425E+002; 7.3000E+001; 4.5430E+001;
 7.4000E+001; 3.0941E+002; 7.4000E+001; 2.6119E+002; 7.4000E+001; 2.1893E+002; 7.4000E+001; 1.8254E+002; 7.4000E+001; 1.5160E+002; 7.4000E+001; 1.2564E+002; 7.4000E+001; 4.6196E+001;
