Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 3.8000E+001; 2.4984E+002; 3.8000E+001; 1.9522E+002; 3.8000E+001; 1.5311E+002; 3.8000E+001; 1.1882E+002; 3.8000E+001; 9.1717E+001; 3.8000E+001; 7.0865E+001; 3.8000E+001; 2.3634E+001;
 3.9000E+001; 2.5214E+002; 3.9000E+001; 1.9759E+002; 3.9000E+001; 1.5547E+002; 3.9000E+001; 1.2105E+002; 3.9000E+001; 9.3737E+001; 3.9000E+001; 7.2609E+001; 3.9000E+001; 2.4020E+001;
 4.0000E+001; 2.5440E+002; 4.0000E+001; 1.9991E+002; 4.0000E+001; 1.5778E+002; 4.0000E+001; 1.2326E+002; 4.0000E+001; 9.5733E+001; 4.0000E+001; 7.4343E+001; 4.0000E+001; 2.4425E+001;
 4.1000E+001; 2.5661E+002; 4.1000E+001; 2.0220E+002; 4.1000E+001; 1.6005E+002; 4.1000E+001; 1.2543E+002; 4.1000E+001; 9.7707E+001; 4.1000E+001; 7.6065E+001; 4.1000E+001; 2.4846E+001;
 4.2000E+001; 2.5878E+002; 4.2000E+001; 2.0444E+002; 4.2000E+001; 1.6228E+002; 4.2000E+001; 1.2756E+002; 4.2000E+001; 9.9657E+001; 4.2000E+001; 7.7776E+001; 4.2000E+001; 2.5285E+001;
 4.3000E+001; 2.6090E+002; 4.3000E+001; 2.0666E+002; 4.3000E+001; 1.6446E+002; 4.3000E+001; 1.2967E+002; 4.3000E+001; 1.0159E+002; 4.3000E+001; 7.9475E+001; 4.3000E+001; 2.5741E+001;
 4.4000E+001; 2.6298E+002; 4.4000E+001; 2.0884E+002; 4.4000E+001; 1.6660E+002; 4.4000E+001; 1.3174E+002; 4.4000E+001; 1.0349E+002; 4.4000E+001; 8.1162E+001; 4.4000E+001; 2.6213E+001;
 4.5000E+001; 2.6502E+002; 4.5000E+001; 2.1099E+002; 4.5000E+001; 1.6871E+002; 4.5000E+001; 1.3378E+002; 4.5000E+001; 1.0538E+002; 4.5000E+001; 8.2837E+001; 4.5000E+001; 2.6701E+001;
 4.6000E+001; 2.6702E+002; 4.6000E+001; 2.1311E+002; 4.6000E+001; 1.7078E+002; 4.6000E+001; 1.3579E+002; 4.6000E+001; 1.0724E+002; 4.6000E+001; 8.4499E+001; 4.6000E+001; 2.7204E+001;
 4.7000E+001; 2.6899E+002; 4.7000E+001; 2.1520E+002; 4.7000E+001; 1.7281E+002; 4.7000E+001; 1.3777E+002; 4.7000E+001; 1.0908E+002; 4.7000E+001; 8.6149E+001; 4.7000E+001; 2.7723E+001;
 4.8000E+001; 2.7092E+002; 4.8000E+001; 2.1725E+002; 4.8000E+001; 1.7480E+002; 4.8000E+001; 1.3972E+002; 4.8000E+001; 1.1090E+002; 4.8000E+001; 8.7787E+001; 4.8000E+001; 2.8256E+001;
 4.9000E+001; 2.7281E+002; 4.9000E+001; 2.1927E+002; 4.9000E+001; 1.7677E+002; 4.9000E+001; 1.4165E+002; 4.9000E+001; 1.1270E+002; 4.9000E+001; 8.9412E+001; 4.9000E+001; 2.8803E+001;
