Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 3.6000E+001; 2.4388E+002; 3.6000E+001; 1.8965E+002; 3.6000E+001; 1.4777E+002; 3.6000E+001; 1.1393E+002; 3.6000E+001; 8.7514E+001; 3.6000E+001; 6.7423E+001; 3.6000E+001; 2.3060E+001;
 3.7000E+001; 2.4638E+002; 3.7000E+001; 1.9219E+002; 3.7000E+001; 1.5029E+002; 3.7000E+001; 1.1629E+002; 3.7000E+001; 8.9598E+001; 3.7000E+001; 6.9193E+001; 3.7000E+001; 2.3422E+001;
 3.8000E+001; 2.4881E+002; 3.8000E+001; 1.9467E+002; 3.8000E+001; 1.5277E+002; 3.8000E+001; 1.1861E+002; 3.8000E+001; 9.1663E+001; 3.8000E+001; 7.0956E+001; 3.8000E+001; 2.3803E+001;
 3.9000E+001; 2.5119E+002; 3.9000E+001; 1.9710E+002; 3.9000E+001; 1.5519E+002; 3.9000E+001; 1.2089E+002; 3.9000E+001; 9.3706E+001; 3.9000E+001; 7.2711E+001; 3.9000E+001; 2.4200E+001;
 4.0000E+001; 2.5351E+002; 4.0000E+001; 1.9946E+002; 4.0000E+001; 1.5756E+002; 4.0000E+001; 1.2314E+002; 4.0000E+001; 9.5728E+001; 4.0000E+001; 7.4458E+001; 4.0000E+001; 2.4615E+001;
 4.1000E+001; 2.5577E+002; 4.1000E+001; 2.0178E+002; 4.1000E+001; 1.5989E+002; 4.1000E+001; 1.2535E+002; 4.1000E+001; 9.7729E+001; 4.1000E+001; 7.6195E+001; 4.1000E+001; 2.5047E+001;
 4.2000E+001; 2.5799E+002; 4.2000E+001; 2.0405E+002; 4.2000E+001; 1.6216E+002; 4.2000E+001; 1.2753E+002; 4.2000E+001; 9.9708E+001; 4.2000E+001; 7.7921E+001; 4.2000E+001; 2.5495E+001;
 4.3000E+001; 2.6016E+002; 4.3000E+001; 2.0628E+002; 4.3000E+001; 1.6440E+002; 4.3000E+001; 1.2968E+002; 4.3000E+001; 1.0167E+002; 4.3000E+001; 7.9638E+001; 4.3000E+001; 2.5959E+001;
 4.4000E+001; 2.6229E+002; 4.4000E+001; 2.0847E+002; 4.4000E+001; 1.6659E+002; 4.4000E+001; 1.3179E+002; 4.4000E+001; 1.0360E+002; 4.4000E+001; 8.1343E+001; 4.4000E+001; 2.6439E+001;
 4.5000E+001; 2.6437E+002; 4.5000E+001; 2.1062E+002; 4.5000E+001; 1.6874E+002; 4.5000E+001; 1.3386E+002; 4.5000E+001; 1.0551E+002; 4.5000E+001; 8.3037E+001; 4.5000E+001; 2.6934E+001;
 4.6000E+001; 2.6641E+002; 4.6000E+001; 2.1275E+002; 4.6000E+001; 1.7085E+002; 4.6000E+001; 1.3591E+002; 4.6000E+001; 1.0741E+002; 4.6000E+001; 8.4719E+001; 4.6000E+001; 2.7445E+001;
 4.7000E+001; 2.6841E+002; 4.7000E+001; 2.1484E+002; 4.7000E+001; 1.7292E+002; 4.7000E+001; 1.3793E+002; 4.7000E+001; 1.0928E+002; 4.7000E+001; 8.6390E+001; 4.7000E+001; 2.7970E+001;
 4.8000E+001; 2.7038E+002; 4.8000E+001; 2.1691E+002; 4.8000E+001; 1.7496E+002; 4.8000E+001; 1.3992E+002; 4.8000E+001; 1.1113E+002; 4.8000E+001; 8.8048E+001; 4.8000E+001; 2.8510E+001;
 4.9000E+001; 2.7231E+002; 4.9000E+001; 2.1895E+002; 4.9000E+001; 1.7696E+002; 4.9000E+001; 1.4187E+002; 4.9000E+001; 1.1296E+002; 4.9000E+001; 8.9695E+001; 4.9000E+001; 2.9064E+001;
