Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 3.4000E+001; 1.2203E+002; 3.4000E+001; 9.4845E+001; 3.4000E+001; 7.4431E+001; 3.4000E+001; 5.8708E+001; 3.4000E+001; 4.6787E+001; 3.4000E+001; 3.7906E+001; 3.4000E+001; 1.5942E+001;
 3.5000E+001; 1.2400E+002; 3.5000E+001; 9.6577E+001; 3.5000E+001; 7.5929E+001; 3.5000E+001; 5.9970E+001; 3.5000E+001; 4.7818E+001; 3.5000E+001; 3.8721E+001; 3.5000E+001; 1.6042E+001;
 3.6000E+001; 1.2595E+002; 3.6000E+001; 9.8298E+001; 3.6000E+001; 7.7421E+001; 3.6000E+001; 6.1231E+001; 3.6000E+001; 4.8852E+001; 3.6000E+001; 3.9542E+001; 3.6000E+001; 1.6149E+001;
 3.7000E+001; 1.2788E+002; 3.7000E+001; 1.0001E+002; 3.7000E+001; 7.8907E+001; 3.7000E+001; 6.2491E+001; 3.7000E+001; 4.9889E+001; 3.7000E+001; 4.0369E+001; 3.7000E+001; 1.6264E+001;
 3.8000E+001; 1.2979E+002; 3.8000E+001; 1.0170E+002; 3.8000E+001; 8.0385E+001; 3.8000E+001; 6.3748E+001; 3.8000E+001; 5.0928E+001; 3.8000E+001; 4.1202E+001; 3.8000E+001; 1.6387E+001;
 3.9000E+001; 1.3168E+002; 3.9000E+001; 1.0338E+002; 3.9000E+001; 8.1856E+001; 3.9000E+001; 6.5003E+001; 3.9000E+001; 5.1969E+001; 3.9000E+001; 4.2040E+001; 3.9000E+001; 1.6517E+001;
 4.0000E+001; 1.3355E+002; 4.0000E+001; 1.0505E+002; 4.0000E+001; 8.3320E+001; 4.0000E+001; 6.6256E+001; 4.0000E+001; 5.3012E+001; 4.0000E+001; 4.2884E+001; 4.0000E+001; 1.6655E+001;
 4.1000E+001; 1.3539E+002; 4.1000E+001; 1.0671E+002; 4.1000E+001; 8.4776E+001; 4.1000E+001; 6.7507E+001; 4.1000E+001; 5.4057E+001; 4.1000E+001; 4.3732E+001; 4.1000E+001; 1.6801E+001;
 4.2000E+001; 1.3722E+002; 4.2000E+001; 1.0835E+002; 4.2000E+001; 8.6224E+001; 4.2000E+001; 6.8754E+001; 4.2000E+001; 5.5102E+001; 4.2000E+001; 4.4585E+001; 4.2000E+001; 1.6955E+001;
 4.3000E+001; 1.3903E+002; 4.3000E+001; 1.0998E+002; 4.3000E+001; 8.7664E+001; 4.3000E+001; 6.9998E+001; 4.3000E+001; 5.6149E+001; 4.3000E+001; 4.5442E+001; 4.3000E+001; 1.7115E+001;
 4.4000E+001; 1.4082E+002; 4.4000E+001; 1.1159E+002; 4.4000E+001; 8.9095E+001; 4.4000E+001; 7.1238E+001; 4.4000E+001; 5.7196E+001; 4.4000E+001; 4.6303E+001; 4.4000E+001; 1.7283E+001;
 4.5000E+001; 1.4259E+002; 4.5000E+001; 1.1319E+002; 4.5000E+001; 9.0518E+001; 4.5000E+001; 7.2475E+001; 4.5000E+001; 5.8243E+001; 4.5000E+001; 4.7167E+001; 4.5000E+001; 1.7459E+001;
 4.6000E+001; 1.4434E+002; 4.6000E+001; 1.1478E+002; 4.6000E+001; 9.1932E+001; 4.6000E+001; 7.3708E+001; 4.6000E+001; 5.9291E+001; 4.6000E+001; 4.8036E+001; 4.6000E+001; 1.7641E+001;
 4.7000E+001; 1.4607E+002; 4.7000E+001; 1.1635E+002; 4.7000E+001; 9.3338E+001; 4.7000E+001; 7.4936E+001; 4.7000E+001; 6.0338E+001; 4.7000E+001; 4.8907E+001; 4.7000E+001; 1.7831E+001;
