Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 3.4000E+001; 2.3544E+002; 3.4000E+001; 1.8729E+002; 3.4000E+001; 1.4907E+002; 3.4000E+001; 1.1748E+002; 3.4000E+001; 9.2108E+001; 3.4000E+001; 7.2225E+001; 3.4000E+001; 2.4726E+001;
 3.5000E+001; 2.3795E+002; 3.5000E+001; 1.8986E+002; 3.5000E+001; 1.5163E+002; 3.5000E+001; 1.1992E+002; 3.5000E+001; 9.4325E+001; 3.5000E+001; 7.4165E+001; 3.5000E+001; 2.5244E+001;
 3.6000E+001; 2.4039E+002; 3.6000E+001; 1.9237E+002; 3.6000E+001; 1.5414E+002; 3.6000E+001; 1.2231E+002; 3.6000E+001; 9.6514E+001; 3.6000E+001; 7.6091E+001; 3.6000E+001; 2.5785E+001;
 3.7000E+001; 2.4279E+002; 3.7000E+001; 1.9483E+002; 3.7000E+001; 1.5660E+002; 3.7000E+001; 1.2467E+002; 3.7000E+001; 9.8676E+001; 3.7000E+001; 7.8004E+001; 3.7000E+001; 2.6350E+001;
 3.8000E+001; 2.4513E+002; 3.8000E+001; 1.9723E+002; 3.8000E+001; 1.5901E+002; 3.8000E+001; 1.2698E+002; 3.8000E+001; 1.0081E+002; 3.8000E+001; 7.9902E+001; 3.8000E+001; 2.6937E+001;
 3.9000E+001; 2.4742E+002; 3.9000E+001; 1.9959E+002; 3.9000E+001; 1.6137E+002; 3.9000E+001; 1.2926E+002; 3.9000E+001; 1.0292E+002; 3.9000E+001; 8.1786E+001; 3.9000E+001; 2.7546E+001;
 4.0000E+001; 2.4966E+002; 4.0000E+001; 2.0191E+002; 4.0000E+001; 1.6368E+002; 4.0000E+001; 1.3150E+002; 4.0000E+001; 1.0500E+002; 4.0000E+001; 8.3654E+001; 4.0000E+001; 2.8175E+001;
 4.1000E+001; 2.5185E+002; 4.1000E+001; 2.0419E+002; 4.1000E+001; 1.6595E+002; 4.1000E+001; 1.3371E+002; 4.1000E+001; 1.0706E+002; 4.1000E+001; 8.5508E+001; 4.1000E+001; 2.8825E+001;
 4.2000E+001; 2.5401E+002; 4.2000E+001; 2.0644E+002; 4.2000E+001; 1.6818E+002; 4.2000E+001; 1.3588E+002; 4.2000E+001; 1.0909E+002; 4.2000E+001; 8.7346E+001; 4.2000E+001; 2.9495E+001;
 4.3000E+001; 2.5612E+002; 4.3000E+001; 2.0865E+002; 4.3000E+001; 1.7037E+002; 4.3000E+001; 1.3801E+002; 4.3000E+001; 1.1109E+002; 4.3000E+001; 8.9169E+001; 4.3000E+001; 3.0183E+001;
 4.4000E+001; 2.5819E+002; 4.4000E+001; 2.1082E+002; 4.4000E+001; 1.7252E+002; 4.4000E+001; 1.4012E+002; 4.4000E+001; 1.1307E+002; 4.4000E+001; 9.0977E+001; 4.4000E+001; 3.0889E+001;
 4.5000E+001; 2.6022E+002; 4.5000E+001; 2.1297E+002; 4.5000E+001; 1.7463E+002; 4.5000E+001; 1.4219E+002; 4.5000E+001; 1.1503E+002; 4.5000E+001; 9.2771E+001; 4.5000E+001; 3.1612E+001;
 4.6000E+001; 2.6222E+002; 4.6000E+001; 2.1507E+002; 4.6000E+001; 1.7671E+002; 4.6000E+001; 1.4424E+002; 4.6000E+001; 1.1697E+002; 4.6000E+001; 9.4550E+001; 4.6000E+001; 3.2352E+001;
 4.7000E+001; 2.6418E+002; 4.7000E+001; 2.1715E+002; 4.7000E+001; 1.7875E+002; 4.7000E+001; 1.4626E+002; 4.7000E+001; 1.1888E+002; 4.7000E+001; 9.6314E+001; 4.7000E+001; 3.3108E+001;
 4.8000E+001; 2.6610E+002; 4.8000E+001; 2.1919E+002; 4.8000E+001; 1.8076E+002; 4.8000E+001; 1.4824E+002; 4.8000E+001; 1.2078E+002; 4.8000E+001; 9.8064E+001; 4.8000E+001; 3.3878E+001;
 4.9000E+001; 2.6799E+002; 4.9000E+001; 2.2121E+002; 4.9000E+001; 1.8273E+002; 4.9000E+001; 1.5020E+002; 4.9000E+001; 1.2265E+002; 4.9000E+001; 9.9800E+001; 4.9000E+001; 3.4663E+001;
 5.0000E+001; 2.6985E+002; 5.0000E+001; 2.2318E+002; 5.0000E+001; 1.8467E+002; 5.0000E+001; 1.5214E+002; 5.0000E+001; 1.2450E+002; 5.0000E+001; 1.0152E+002; 5.0000E+001; 3.5462E+001;
 5.1000E+001; 2.7168E+002; 5.1000E+001; 2.2513E+002; 5.1000E+001; 1.8658E+002; 5.1000E+001; 1.5404E+002; 5.1000E+001; 1.2633E+002; 5.1000E+001; 1.0323E+002; 5.1000E+001; 3.6273E+001;
 5.2000E+001; 2.7348E+002; 5.2000E+001; 2.2705E+002; 5.2000E+001; 1.8846E+002; 5.2000E+001; 1.5593E+002; 5.2000E+001; 1.2814E+002; 5.2000E+001; 1.0492E+002; 5.2000E+001; 3.7097E+001;
 5.3000E+001; 2.7524E+002; 5.3000E+001; 2.2894E+002; 5.3000E+001; 1.9032E+002; 5.3000E+001; 1.5778E+002; 5.3000E+001; 1.2993E+002; 5.3000E+001; 1.0661E+002; 5.3000E+001; 3.7932E+001;
 5.4000E+001; 2.7698E+002; 5.4000E+001; 2.3080E+002; 5.4000E+001; 1.9214E+002; 5.4000E+001; 1.5962E+002; 5.4000E+001; 1.3170E+002; 5.4000E+001; 1.0827E+002; 5.4000E+001; 3.8778E+001;
 5.5000E+001; 2.7869E+002; 5.5000E+001; 2.3263E+002; 5.5000E+001; 1.9395E+002; 5.5000E+001; 1.6142E+002; 5.5000E+001; 1.3346E+002; 5.5000E+001; 1.0993E+002; 5.5000E+001; 3.9635E+001;
